Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Age dependency ratio (% of working-age population),SP.POP.DPND,Afghanistan,AFG,98.890488019015,108.346634638347,94.7066970972784,93.0424476640396,92.0121249200047,90.5430941060045,89.0914511265535,87.649321552026,85.9595495980435,84.5992570171333,83.5703595136227,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Albania,ALB,62.0784545606528,59.6572954321563,46.4344309864281,46.4131186668273,46.5528934762326,46.723001108545,46.9149337482907,47.2803971247671,47.6966322543307,48.1832229557306,48.8135106508936,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Algeria,DZA,85.0546100966947,61.5008804071121,50.679694261496,51.9617741709185,53.3154368599169,54.679122352021,55.9538641191913,57.0539875279503,57.889466858055,58.4637314615723,58.8083853434703,..
Age dependency ratio (% of working-age population),SP.POP.DPND,American Samoa,ASM,75.260225773347,76.4736188138315,58.2219798200164,57.3485266188813,56.4958431567192,55.6272220998647,54.727290155606,53.8394018205462,53.028094354625,52.3356898826235,52.463927821206,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Andorra,AND,37.5009625503735,38.8796671779463,38.9708165166097,39.0668915120854,39.0888347746055,38.6584289496911,38.1309271706104,37.9583280625983,37.9879239921861,38.1405998741523,38.4319234170959,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Angola,AGO,94.8630941496451,95.5754123244731,93.50197258566,93.4474130485586,93.2905807499209,93.0134888756629,92.6985720227367,92.3135596096688,91.9259640912821,91.4739484069112,90.8950195044044,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Antigua and Barbuda,ATG,63.4962435132832,53.9758739537174,41.7495314038822,41.2855998366295,40.9161635650713,40.7417132618702,40.5673258364911,40.4816006588077,40.6215855287119,40.8716546023303,41.1738135389063,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Argentina,ARG,64.2132713974083,61.0879724896863,55.9732762411572,55.8644592427226,55.7543621214315,55.6112391046053,55.4071736223346,55.1353088624017,54.7600781645305,54.2701483886344,53.7791066729999,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Armenia,ARM,54.9293492252744,56.2120288096662,42.5808339155112,43.4325410962897,44.4674034959483,45.5931114016472,46.68927940889,47.7730585480781,48.7015943398576,49.6288194974977,50.6615255320083,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Aruba,ABW,49.9577827982018,43.2146588443301,43.6351787917863,44.1905815642072,44.8695988507017,45.5997901045335,46.368483575987,47.139243306009,47.6853583849469,47.8052164261931,47.8902396665509,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Australia,AUS,49.4963766344829,49.4896723471867,50.5484034063537,51.1154475102112,51.6647418275737,52.1351552988687,52.5529204296518,52.9295029083969,53.3162040546001,53.7101418521078,54.0407903168311,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Austria,AUT,48.0734835285763,48.0590131844728,48.5314835045852,48.7023662273001,48.9291677498263,49.2868816392703,49.6623569043861,50.0491128012816,50.4950869364154,51.1182513489329,51.9413337482858,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Azerbaijan,AZE,63.8243313528839,57.5116074949436,42.0709347595043,42.6513497439418,43.2504653013911,43.696136914224,43.9618761592168,44.2058823233236,44.2910231987963,44.1785240948905,44.0671174021838,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Bahamas, The",BHS,57.2718451678878,53.6328957755267,44.3096606712405,43.4797858930561,42.6030964033751,41.717070190829,40.9345938591447,40.2855944046244,39.753274035668,39.2573297464119,38.7997752032988,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bahrain,BHR,56.1540481241946,46.4929475960054,29.6618650822691,30.1106779850436,29.8159485473694,29.4620624936683,29.4161767175483,29.897876949853,30.7122218270546,31.3471460732251,31.4791032966405,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bangladesh,BGD,86.5150297854409,69.6918052448483,55.2563590542776,53.8664654733227,52.5465441495867,51.2917590885276,50.1893369396499,49.2552774379159,48.401290979303,47.6670723677358,47.0881905407013,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Barbados,BRB,54.5591325945739,49.4460506403451,46.7006069064687,46.7095058719256,46.6905668124891,46.7991355694252,47.0958241295887,47.5561009263697,48.2128996488634,48.9817110644881,49.7039249872427,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belarus,BLR,50.8818192506721,47.9123388018573,44.4186046511628,45.5024847954877,46.5262789783647,47.4927988221769,48.3890639532288,49.3169287600383,50.1331598310113,50.7602118548547,51.424011583488,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belgium,BEL,49.3685608143851,52.4616958812104,53.8591209965639,54.3075756119981,54.6867835285924,55.1049974754027,55.5495903008952,55.9723786270361,56.2527201960627,56.5072191218183,56.8940153628632,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belize,BLZ,93.4205508474576,78.161660626811,57.8880150567991,56.3661485919869,54.970424686316,53.7330395644343,52.6670156356763,51.5909223726502,50.5619562482367,49.6819505040149,48.8668003732029,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Benin,BEN,97.3236062106697,94.0252714487637,86.3992732867741,86.0519846336015,85.8316638591334,85.6087497219097,85.31471125305,84.9368438665782,84.5070179995855,84.0074855144422,83.4713859767241,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bermuda,BMU,39.4855638107778,41.9262285674937,44.6771650045532,45.1097715594902,45.8583758868453,47.1185737976783,48.5463292198285,49.9378299120235,51.4052132701422,52.8586839266451,54.1178468330786,..
