"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.65620294569352","5.81895595273866","5.44777100272394","6.03009275874371","6.11570775868796","5.9613344227107","5.9810462180259","6.00108881256886","5.89198172425083","6.40741692690517","6.44527455868429","6.35450320470563","6.16826374775289","6.17973350785973","5.84083929051906","5.99825627392188","6.09820528339229","5.95407620343785","5.8095025119235","5.83017560974386","5.88169787981974","5.86560127952123","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339085","8.94125843","9.80847359","9.94828892","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190777","7.89716864","8.80596447","9.52887821","10.10534763","11.81859016","12.62081718","14.20841885","14.83131981","15.53361416","21.82794952","","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71773075389811","3.71387386938287","3.3524763012464","4.62552206132176","4.42898992161699","4.23482316174263","4.10674520095189","3.85734872193406","3.67789615469006","3.7656038280178","3.49823491915293","3.52315754612869","3.48914056254877","3.60290591544634","3.58326218736834","3.80588174835332","3.79649895988869","3.81679860178499","3.43009398246049","3.41709124084655","3.83811186189736","4.14148377327331","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90859938","4.48351622","3.32946134","3.54797316","3.96719909","2.85219526","2.68553543","2.97439122","3.32290339","3.84260798","2.69509959","2.64560771","2.39574957","2.73282695","2.43412876","2.60579467","2.71314979","2.79383755","2.58879566","2.47517991","3.22070646","2.96010613","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94419765","5.92584515","5.66464472","5.91140795","5.89364862","5.72954512","5.63177013","5.92609119","5.50900269","5.82603931","6.23667669","6.18297672","6.15746212","6.28286266","6.43451118","6.46411896","6.7293272","6.57848787","6.66844559","6.86214113","7.51920271","7.26731825","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95276403","5.85823727","5.99621153","5.54771519","5.28846931","5.59476948","4.96530008","4.92347288","5.67066383","6.08094168","7.67537737","7.62060833","6.71083689","6.79964209","6.77308035","6.91586447","6.90521765","7.07142639","7.37541723","7.323246","8.78673935","8.33449364","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9823314025105","4.26418115301539","4.26946105623697","4.0951212055081","3.78804789160125","3.48583062825782","3.45033162400513","3.55236509856902","3.36999604778081","4.24142735296461","3.86477431984604","3.8138076950767","3.8895570410472","4.13535969169904","4.47686924896666","4.97708546076049","5.26186582012739","5.16164421869481","4.84718019786716","4.94688421078563","5.74677236446336","5.32532539535481","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413526","2.48437047","2.71770859","2.64634395","2.46204329","2.32019687","2.3254137","2.56569624","2.92847514","4.04999304","3.87873054","3.67006993","3.33596373","3.50222182","3.53405499","3.46609354","3.89580107","4.00854969","4.09854221","4.38618946","5.82477045","5.30695152","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.22001076","8.37179852","7.3933115","6.89451647","7.22868252","7.61078882","7.64032793","7.83455086","8.1826973","9.45599556","9.44546413","9.41819859","9.82726669","9.78097916","9.67129993","10.22933674","9.85558891","10.23174763","10.29146862","10.04194355","10.34701538","9.70880699","","",
"Armenia","ARM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","4.65","7.61","7.18","6.06","5.86","5.85","5.5","6.64","8.44","9.24","9.38","9.13","10.32","10.18","10.12","9.95","10.36","10.01","11.38","12.24","12.34","","",
"American Samoa","ASM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.71542597","5.43839121","5.28793621","5.58143282","5.11667967","4.99094057","4.63050652","4.44609547","4.20027018","4.17732763","5.37907028","5.44257212","5.47921467","5.50909233","5.87269926","5.27965546","5.12190151","4.87493944","4.84869289","4.37567186","5.92146206","5.85133028","","",
"Australia","AUS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.59412289","7.67809916","7.87627029","7.88087225","8.08708572","7.97029352","7.97702456","8.05496502","8.24855137","8.54473877","8.42025661","8.53744984","8.67456913","8.75058746","9.83354282","10.18225861","10.09288597","10.12281322","10.05971909","10.21965981","10.6837368","10.54363918","","",
"Austria","AUT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","9.27","9.39","9.55","9.71","9.63","9.53","9.53","9.73","10.23","10.22","10.03","10.2","10.29","10.37","10.37","10.35","10.38","10.35","10.49","11.39","12.1","","",
"Azerbaijan","AZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95","2.77","2.73","2.73","2.66","2.23","2.07","1.99","2.05","2.77","2.65","2.6","3.16","3.23","3.59","4.34","4.42","4.07","3.84","4.18","5.85","4.7","","",
"Burundi","BDI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22181606","5.68180418","5.34983587","5.27245188","7.09572744","7.56016588","8.71264839","9.1855402","7.74147511","9.23238468","11.28196716","10.06996346","8.63756466","8.62834644","7.21081543","6.29022646","7.06148243","6.95275736","7.29396152","9.05010796","10.71837234","9.10190964","","",
"Belgium","BEL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.99917603","8.14988804","8.31820965","9.16443539","9.32808781","9.22374916","9.12963009","9.13628674","9.5951395","10.32117939","10.20229435","10.36337948","10.50204754","10.57661152","10.60909367","10.79745102","10.79354668","10.79855728","10.86148262","10.79477787","11.19751263","11.04290771","","",
"Benin","BEN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9591713","3.30417323","3.09589195","3.11678505","3.23273873","3.22345805","3.28773856","2.93715644","2.65178108","2.88892651","3.00988984","2.99707985","3.07562971","2.86880755","2.69111967","2.72813416","2.79549599","2.66813827","2.88632059","2.50914454","2.46970391","2.58129549","","",
"Burkina Faso","BFA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9502635","2.88835382","2.97113013","3.14307284","4.21720934","3.95109582","4.51446247","5.23373222","4.64780712","5.08159161","5.23958349","4.64868164","4.60267258","5.56331587","5.00027227","5.13192415","5.96067238","6.02490044","5.0057807","5.31868935","6.50193262","6.37691164","","",
"Bangladesh","BGD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80504513","1.77201855","1.93417108","1.96152198","1.99854314","2.05873919","2.10646582","2.17268491","2.11878848","2.18321705","2.28807664","2.36418128","2.3537879","2.29574466","2.27915168","2.27217698","2.38938212","2.36720181","2.31622243","2.25762248","2.27063942","2.36492991","","",
"Bulgaria","BGR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.83","6.86","7.08","7.2","6.89","6.89","6.53","6.16","6.28","6.6","7.1","7.1","7.54","7.14","7.68","7.39","7.46","7.49","7.33","7.09","8.48","8.56","","",
"Bahrain","BHR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.33542562","3.48573017","3.67866111","3.88658071","3.49817729","3.25870824","3.10821271","3.29534078","3.2038722","4.32666922","4.08934975","3.8651762","4.10642147","4.30853891","4.41240263","4.97671938","4.86051178","4.51235676","4.12745667","3.95980334","4.71684837","4.26834059","","",
"Bahamas, The","BHS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80487037","3.92440891","3.81251931","4.01998568","4.04628181","4.03196478","4.30935764","4.49598694","4.86261654","5.1500144","5.25594234","5.32398558","5.3190918","5.59409571","5.53944159","5.16048241","5.68248844","6.70352888","5.98263836","5.82275152","7.64700842","7.13872051","","",
"Bosnia and Herzegovina","BIH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7.61","7.43","8.31","9.06","9.05","9.17","9.53","9.69","9.02","9.02","9.18","9.49","9.45","9.49","9.24","9.14","8.82","8.76","8.93","9.7","9.56","","",
"Belarus","BLR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28","5.71","5.62","5.77","5.74","6.07","5.57","5.69","5.29","5.39","5.66","4.87","5.25","5.7","5.39","6.07","5.91","5.76","5.53","5.86","6.41","6.57","","",
"Belize","BLZ","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98060012","3.49099278","3.59433174","3.56305766","3.44779563","3.46698904","3.57004833","4.07867432","4.53821993","4.52587652","4.49519491","4.54942894","4.36242819","4.43660116","4.88208723","4.65365601","4.76508141","4.61620188","4.74657917","4.81374073","5.30974436","4.98043823","","",
"Bermuda","BMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39554119","4.82522202","4.89645052","5.19709635","4.86315727","5.07408142","4.66087532","4.6968894","4.60677242","5.17444515","5.20230532","5.17306805","5.2539444","5.57465124","5.89613628","6.55064964","6.83333063","6.4901948","6.60399437","6.88792992","8.0225811","8.15972805","","",
"Brazil","BRA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33457184","8.54963303","8.69686985","8.18899441","8.12491989","8.03539562","8.24952507","8.20182991","8.01128483","8.39480495","7.94516611","7.78819132","7.73637724","7.9766016","8.39644146","8.90929985","9.16901493","9.47124863","9.46475029","9.61449146","10.18235016","9.89072323","","",
